date,1. open,2. high,3. low,4. close,5. volume
2020-04-03 05:59:00,8800.0,8804.5996,8800.0,8804.5996,4.0
2020-04-03 05:58:00,8840.9502,8840.9502,8840.9502,8840.9502,0.0
2020-04-03 05:57:00,8800.0,8800.0,8800.0,8800.0,4.0
2020-04-03 05:54:00,8800.0,8800.0498,8800.0,8800.0498,6.0
2020-04-03 05:53:00,8800.0,8800.0,8800.0,8800.0,20.0
2020-04-03 05:52:00,8821.8496,8821.8496,8821.8496,8821.8496,0.0
2020-04-03 05:50:00,8800.0,8800.0,8800.0,8800.0,2.0
2020-04-03 05:49:00,8800.0,8800.0,8800.0,8800.0,0.0
2020-04-03 05:48:00,8822.7002,8822.7002,8822.7002,8822.7002,0.0
2020-04-03 05:46:00,8800.0,8800.0,8800.0,8800.0,4.0
2020-04-03 05:45:00,8800.0498,8800.0498,8800.0498,8800.0498,0.0
2020-04-03 05:42:00,8844.7002,8844.7002,8844.7002,8844.7002,1.0
2020-04-03 05:37:00,8844.75,8844.75,8800.0,8800.0,3.0
2020-04-03 05:35:00,8869.9004,8869.9004,8869.9004,8869.9004,0.0
2020-04-03 05:34:00,8800.0996,8800.0996,8800.0,8800.0,2.0
2020-04-03 05:31:00,8800.1504,8800.1504,8800.1504,8800.1504,1.0
2020-04-03 05:26:00,8800.0,8800.0,8800.0,8800.0,3.0
2020-04-03 05:09:00,8800.0,8810.0498,8800.0,8800.0,19.0
2020-04-03 05:07:00,8800.0,8800.0,8800.0,8800.0,3.0
2020-04-03 05:05:00,8815.0498,8815.0498,8810.0,8810.0,0.0
2020-04-03 05:03:00,8810.0,8825.0,8810.0,8825.0,8.0
2020-04-03 04:55:00,8800.0,8800.0,8800.0,8800.0,1.0
2020-04-03 04:51:00,8800.0,8800.0,8800.0,8800.0,0.0
2020-04-03 04:50:00,8800.0,8800.0,8800.0,8800.0,4.0
2020-04-03 04:47:00,8800.0,8800.0,8800.0,8800.0,5.0
2020-04-03 04:46:00,8805.0,8810.0,8800.0,8800.0,11.0
2020-04-03 04:45:00,8805.0,8805.0,8805.0,8805.0,1.0
2020-04-03 04:43:00,8805.0,8805.0,8805.0,8805.0,0.0
2020-04-03 04:41:00,8805.0,8805.0,8805.0,8805.0,8.0
2020-04-03 04:36:00,8800.0498,8800.0498,8800.0498,8800.0498,5.0
2020-04-03 04:35:00,8849.9502,8849.9502,8849.9502,8849.9502,5.0
2020-04-03 04:18:00,8850.0,8850.0,8850.0,8850.0,0.0
2020-04-03 04:17:00,8849.9502,8849.9502,8849.9502,8849.9502,17.0
2020-04-03 04:06:00,8850.0,8850.0,8850.0,8850.0,0.0
2020-04-03 04:03:00,8800.1504,8800.1504,8800.1504,8800.1504,0.0
2020-04-03 04:01:00,8800.1504,8800.1504,8800.1504,8800.1504,1.0
2020-04-03 03:40:00,8800.1504,8800.1504,8800.1504,8800.1504,0.0
2020-04-03 03:39:00,8800.1504,8800.1504,8800.1504,8800.1504,5.0
2020-04-03 03:28:00,8874.9004,8874.9004,8874.9004,8874.9004,1.0
2020-04-03 03:19:00,8829.9502,8860.0,8824.9502,8859.9502,6.0
2020-04-03 03:18:00,8824.9502,8853.0498,8819.9502,8840.0,11.0
2020-04-03 03:17:00,8835.0498,8853.0498,8821.9502,8853.0498,7.0
2020-04-03 03:16:00,8825.0,8850.0498,8821.9502,8821.9502,14.0
2020-04-03 03:15:00,8830.0,8855.0,8830.0,8855.0,9.0
2020-04-03 03:14:00,8879.0,8879.0,8824.9502,8855.0,11.0
2020-04-03 03:13:00,8819.9502,8865.0498,8814.9502,8865.0498,7.0
2020-04-03 03:12:00,8839.9502,8874.5,8835.2002,8835.2002,11.0
2020-04-03 03:09:00,8873.9502,8873.9502,8873.9502,8873.9502,0.0
2020-04-03 02:56:00,8835.25,8835.25,8835.25,8835.25,0.0
2020-04-03 02:55:00,8874.5996,8874.5996,8874.5996,8874.5996,1.0
2020-04-03 02:41:00,8835.0498,8835.0498,8835.0498,8835.0498,0.0
2020-04-03 02:36:00,8874.9502,8874.9502,8874.9502,8874.9502,0.0
2020-04-03 02:31:00,8877.9502,8877.9502,8877.9502,8877.9502,1.0
2020-04-03 02:13:00,8879.0,8879.0,8879.0,8879.0,1.0
2020-04-03 02:00:00,8815.2998,8815.2998,8815.2998,8815.2998,4.0
2020-04-03 01:55:00,8878.0,8880.0,8878.0,8880.0,13.0
2020-04-03 01:52:00,8850.0,8850.0,8850.0,8850.0,18.0
2020-04-03 01:45:00,8805.0,8879.7998,8805.0,8879.7998,5.0
2020-04-03 01:41:00,8800.1504,8800.1504,8800.1504,8800.1504,1.0
2020-04-03 01:30:00,8800.0,8800.0,8800.0,8800.0,0.0
